UDG ID,log_10(M*),log_10(Mgas),log_10(Mbary),log_10(Mdyn),Mg,Tidal index Θ,log_10(M*/Mgas),log_10(M*/Mdyn),log_10(Mbary/Mdyn),AM star,AM DM,β_*,σ_z/σ_r,σ_θ/σ_r,class
383976,10.82516324,10.66324437,11.05273656,11.53005846,-21.6207,4.004459028,0.1619188651,-0.7048952274,-0.4773219028,477.3952849,547.3822481,-0.2780327478,1.047705919,1.138750518,2
386273,9.802520093,8.859443651,9.849407198,9.854048854,-20.6153,7.806025983,0.9430764412,-0.05152876135,-0.004641656072,25.07181258,16.77226734,0.1081881734,0.8081377405,1.004626352,2
388545,10.25947103,9.779806513,10.38377534,11.14088297,-19.8058,4.21211473,0.4796645124,-0.881411948,-0.7571076309,122.7176498,105.8875643,0.4180814068,0.7022362528,0.839551904,2
390933,10.2561866,9.623644218,10.3471689,11.0307359,-19.3408,3.930367821,0.6325423865,-0.7745492964,-0.6835670011,71.28480417,54.97365673,0.6627772371,0.6204964159,0.627600585,2
392277,10.69506482,10.51505305,10.91534961,12.0869932,-20.7014,1.775556732,0.1800117744,-1.39192838,-1.171643592,635.9613903,808.5323183,0.3793451357,0.6601399477,0.8910599869,2
392278,10.51019644,10.59396852,10.85512923,11.54368628,-21.5856,3.370536325,-0.08377208345,-1.033489844,-0.6885570561,1042.910604,1142.160264,0.3314988913,0.6810601102,0.9313251691,2
394621,10.82358352,11.24416111,11.38394077,12.5216798,-21.2067,2.814155167,-0.4205775926,-1.698096281,-1.13773903,1232.019733,4676.303655,0.1898334381,0.5266343902,0.7257219242,2
394623,10.41497809,9.316711775,10.44830153,11.70952287,-19.6098,2.426607066,1.098266318,-1.294544781,-1.261221348,21.0408891,130.9217425,-0.1583661659,0.8630016833,1.11001929,2
400974,10.57300849,10.53663196,10.85623097,11.7808271,-20.7924,1.709935512,0.03637652357,-1.207818617,-0.9245961323,732.1935867,691.8395836,-0.1497481185,0.8916246142,1.147634818,2
402556,10.47342061,10.86407347,11.01229606,11.73352292,-21.1932,2.257723745,-0.3906528617,-1.260102313,-0.7212268672,1003.750595,614.5540656,0.3366298962,0.7225880575,0.9101451535,2
402557,10.33994524,10.30719812,10.62491026,11.4916925,-20.8794,2.768186298,0.03274711749,-1.151747261,-0.8667822431,392.0081139,405.3969405,0.5012213711,0.5324897071,0.6886884278,2
406942,11.02457545,10.50767,11.13990457,11.96020022,-21.5266,3.448017816,0.5169054554,-0.9356247664,-0.8202956526,1895.303118,1067.852193,0.2730711273,0.7965255378,0.9217776721,2
408535,10.54845224,10.39965897,10.78142692,11.6639642,-20.8617,2.62170464,0.1487932627,-1.11551196,-0.8825372778,471.2039888,352.5817253,0.04492145623,0.6706443078,1.209783433,2
414918,10.49121441,10.45585669,10.77492527,11.92683364,-19.9391,1.997929308,0.03535772205,-1.435619229,-1.151908366,214.2881152,271.1616772,-0.2636064941,0.5946356798,0.8002140341,2
428179,10.43214902,10.49840063,10.76756694,11.70366014,-20.6373,1.979442684,-0.06625160633,-1.271511113,-0.9360932021,821.8559297,754.175155,0.2309159402,0.6596002565,1.051241486,2
444135,10.6991242,9.995034085,10.77745628,11.38952464,-20.5672,3.97303488,0.7040901163,-0.6904004413,-0.6120683664,616.1424905,62.06172753,0.1294418477,0.7779969578,1.094194936,2
449659,10.73484413,10.74877148,11.04289363,11.92848176,-21.5873,2.240299486,-0.01392734776,-1.193637623,-0.8855881269,698.3368864,847.245783,0.04249679021,0.8144573735,0.8459348038,2
450917,10.43425808,10.40957532,10.72312202,11.6628517,-20.3912,2.397944639,0.02468275648,-1.22859362,-0.9397296731,643.6549052,474.5245531,0.4194989782,0.5754328251,0.9074562372,2
455291,10.83465096,11.35124108,11.46664375,12.24427912,-22.0839,3.058763757,-0.5165901131,-1.409628162,-0.7776353706,1537.21663,5967.191947,0.5630375382,0.5579799464,0.7498822587,2
455292,10.70878533,10.73896626,11.02516791,11.56861551,-21.8922,3.734427367,-0.03018093162,-0.8598301826,-0.543447599,1021.654818,745.7651546,0.2808853926,0.8023094008,0.8924545641,2
457432,10.53498466,10.4147645,10.78005124,11.50599584,-21.0279,2.992144458,0.1202201604,-0.9710111805,-0.725944604,898.5327338,350.7937048,0.1459077505,0.7669506109,1.086813451,2
459559,10.46984711,10.54925587,10.8123939,11.53732942,-21.1828,2.776201383,-0.07940876245,-1.067482306,-0.7249355105,825.117128,445.4144014,0.4236048149,0.6578278724,0.7513533649,2
466550,10.59688905,10.21411349,10.74740408,11.6752977,-20.6851,2.799495922,0.3827755548,-1.078408657,-0.9278936213,385.5849456,605.677108,0.2478674414,0.8329350813,0.9432650949,2
469488,10.47492987,10.63179964,10.86143936,11.6177382,-21.5299,3.034118284,-0.1568697667,-1.142808332,-0.7562988376,497.8974577,280.748009,-0.01711423282,0.8457711924,1.165667365,2
470346,9.827607887,8.753976736,9.862799451,9.876670432,-20.1184,6.638601042,1.073631151,-0.04906254495,-0.01387098108,26.70721137,36.56254258,0.4558535283,0.6561196985,0.7935578311,2
471997,10.23922836,9.863768824,10.391899,11.11809264,-20.317,4.138993035,0.3754595374,-0.8788642764,-0.726193636,223.4337253,96.56991284,0.2524384221,0.8014004651,0.8781753671,2
476266,10.68151875,11.27857499,11.37649038,12.19608413,-21.7869,2.349581093,-0.5970562375,-1.51456538,-0.8195937561,936.139908,4421.582022,0.3796136573,0.5959844024,0.86442687,2
476267,10.47662334,10.31774291,10.70543848,11.33166076,-21.1286,3.214004463,0.1588804347,-0.8550374222,-0.6262222848,392.6623099,50.34235479,0.1644250833,0.8392435628,0.9911568462,2
477328,10.76712845,11.2528358,11.37564387,12.2448365,-22.1015,2.480086579,-0.4857073513,-1.477708053,-0.869192628,1192.55123,1380.361114,0.3864284691,0.675254976,0.8844135108,2
478216,10.75615507,10.90650645,11.13883492,12.21373605,-21.1531,2.567644936,-0.150351379,-1.457580975,-1.074901128,577.6755629,2176.350101,0.4471432036,0.6089107691,0.8502177963,2
479290,10.94373966,11.16447115,11.36901044,12.28651136,-22.0171,1.865903005,-0.2207314892,-1.342771703,-0.9175009211,1162.741372,2371.43722,0.1993399775,0.7426596606,0.7547908545,2
480802,10.68734525,10.98227637,11.16041012,12.13332253,-21.4429,2.985725844,-0.2949311267,-1.445977286,-0.9729124124,911.5439219,5149.749049,0.1375601872,0.4561882263,0.6508696639,2
480803,10.55823115,9.424076143,10.58900293,11.36372138,-20.3122,3.755326999,1.134155009,-0.8054902269,-0.7747184502,327.0460025,242.928939,-0.1661731306,0.9734781222,1.222538526,2
480804,10.23073913,10.33662743,10.58793248,11.21908492,-19.685,3.563707826,-0.1058883006,-0.98834579,-0.6311524373,127.0445763,199.6302816,0.537988111,0.6629867598,0.7598721202,2
486917,10.47023378,10.95568912,11.07855928,12.12969497,-20.2413,4.756459175,-0.4854553352,-1.65946119,-1.051135693,585.6669881,4020.345023,0.2634106433,0.7064020143,0.9430588899,2
486919,10.12376258,6.555547862,10.12387993,10.37830729,-19.2178,6.507846854,3.568214714,-0.2545447168,-0.2544273593,51.77540251,4.642048166,0.3540489683,0.7362073252,0.8762328811,2
487742,10.54418788,11.22146981,11.30434179,12.18080816,-21.2836,3.825907276,-0.6772819287,-1.63662028,-0.8764663753,887.585459,3845.202489,0.3927131436,0.6078080614,0.7677930307,2
487743,10.40065816,10.22731689,10.623609,11.00729851,-21.2355,4.999416929,0.1733412743,-0.6066403456,-0.3836895116,385.7224161,33.2728071,0.02334125448,0.8890542115,1.061737485,2
490079,10.75138738,10.94626241,11.16069485,12.23776142,-21.0007,4.694531756,-0.1948750342,-1.486374042,-1.077066566,269.7411067,2266.660709,0.181982475,0.8542152236,1.03989773,2
