UDG ID,log_10(M*),log_10(Mgas),log_10(Mbary),log_10(Mdyn),Mg,Tidal index Θ,log_10(sSFR),log_10(M*/Mgas),log_10(M*/Mdyn),log_10(Mbary/Mdyn),AM star,AM DM,T_DM,e_DM,f_DM,T_*,e_*,f_*,β_*,σ_z/σ_r,σ_θ/σ_r,V/σ,λRe,h3,h4,class
510585,10.69346962,11.02617447,11.19196201,12.13068384,-21.5969,2.50093399,-10.20032817,-0.3327048449,-1.437214217,-0.9387218267,732.7469813,1895.754174,0.7703672604,0.6143990046,0.4251517631,0.9909291927,0.9854544366,0.5548083278,-0.1996205065,0.5928716857,0.7025734495,1.224485,0.761373,-0.006014,0.067631,2
514273,10.18945522,10.14928517,10.47086447,11.06131221,-20.2136,3.948643318,-9.973698725,0.04017004828,-0.8718569885,-0.5904477416,102.6663442,19.02668609,0.2325711906,0.1801729548,0.3327336641,0.7462806843,0.7653492122,0.6933603172,-0.4611452481,0.9874066075,1.390610988,0.167188,0.156605,-0.001063,-0.040439,2
520310,10.4028327,10.98758248,11.08801017,11.88130359,-20.4304,2.050778695,-10.33347916,-0.5847497771,-1.478470882,-0.793293412,724.3661862,1851.306136,0.734041652,0.5997488297,0.451152808,0.9418464658,0.9122631263,0.553417921,-0.1704513696,0.5715851747,0.7684167615,0.618729,0.523843,0.004639,0.036121,2
521429,10.6598055,10.96955026,11.14275598,12.10164784,-21.9709,3.570654197,-9.752949182,-0.3097447626,-1.441842346,-0.9588918599,827.436188,992.928456,0.9453261379,0.7007437461,0.2362202991,0.992354786,0.9921825771,0.6978411283,-0.02538918717,0.8189633063,0.8609840796,1.481815,0.80448,0.006902,0.067558,2
521803,10.62328454,10.87810135,11.07014968,12.02476796,-21.2058,1.592359256,-10.05497836,-0.2548168122,-1.40148342,-0.9546182792,699.89547,533.2487666,0.8576424299,0.6839314618,0.3819415416,0.8279460018,0.8948093448,0.9136724921,0.5978620041,0.4963544726,0.7333834619,1.92239,0.883555,-0.000861,0.055263,2
525533,10.58308601,11.01251189,11.14987445,12.0163904,-21.4797,2.200397508,-10.03233315,-0.4294258743,-1.433304392,-0.8665159501,170.0966864,86869.71994,0.8055797447,0.6395380364,0.4086884784,0.9421331928,0.9237138533,0.5975895427,0.1352775934,0.8451890726,0.9646044173,0.615758,0.510928,0.004757,0.062842,2
527309,10.52906269,10.61872096,10.87723142,11.82578237,-21.1947,3.073282568,-9.969056771,-0.08965827107,-1.296719683,-0.9485509521,993.11868,554.0101931,0.9621802139,0.4874236153,0.1106728915,0.8980427555,0.9198750511,0.7902582032,-0.0700621168,0.6586558573,0.7585483597,2.620148,0.909154,8.2e-05,0.039484,2
529855,10.366948,10.98872423,11.08176195,11.99418181,-20.7356,2.576385906,-10.179763,-0.6217762372,-1.627233819,-0.9124198604,227.3145997,3328.089611,0.6974604083,0.6417252735,0.551089509,0.883021866,0.8817293043,0.6802753597,0.2335163299,0.6433692757,0.9895101707,0.558063,0.497984,0.001085,0.028043,2
535050,10.61471301,10.83897692,11.04219279,11.92428061,-21.5868,1.574657258,-9.935586859,-0.2242639146,-1.309567601,-0.8820878177,803.1292196,65317.1688,0.7413712026,0.4871520963,0.3294679499,0.9747453473,0.9819721799,0.8361879675,-1.105787635,0.4988531616,0.6495754198,1.800526,0.866079,0.001628,0.041409,2
558067,10.29134236,10.8056524,10.9215882,11.8624437,-21.0011,3.384932729,-9.633893521,-0.5143100435,-1.57110134,-0.9408554931,472.8842024,2369.927742,0.3654382597,0.4293719403,0.6264903797,0.8683136495,0.9050278638,0.8286006083,0.5163374965,0.5823264254,0.7226956944,1.358417,0.78241,0.018655,0.057296,2
577719,10.38185575,10.60334278,10.80759844,11.74963795,-20.7696,1.651631908,-10.00190516,-0.2214870305,-1.367782203,-0.9420395098,597.8796508,330.7569916,0.1896141129,0.2548325227,0.5448107017,0.1692765888,0.3559604104,0.8438236382,0.2731959273,0.7625424253,0.9055812327,1.340154,0.789411,0.004057,0.043339,2
580406,10.50928846,10.55539678,10.83398423,11.69820673,-20.6325,1.719501007,-10.29264496,-0.04610831777,-1.188918269,-0.8642224959,427.1280922,530.6441088,0.7884239973,0.4745736406,0.2792979433,0.9062056112,0.9116832163,0.7138211786,0.5754644407,0.5518687614,0.6574250965,1.300967,0.780783,0.000634,0.035439,2
590218,10.39016958,10.58751007,10.80098347,11.73756883,-20.6494,1.619521732,-10.13593096,-0.1973404862,-1.347399249,-0.9365853592,695.5976956,709.5735527,0.763680844,0.5063913033,0.3266776722,0.8548337749,0.8863239018,0.7887542336,0.5190810072,0.5366747425,0.7985246828,2.449615,0.900409,0.004715,0.07531,2
623877,10.20507127,10.42535217,10.63006076,11.4698354,-20.3521,1.688816257,-9.911273536,-0.2202808978,-1.264764127,-0.8397746383,320.0299705,214.959472,0.4806288183,0.4062078075,0.4621046014,0.9634782449,0.9319085284,0.5002516267,0.6337625685,0.5760299901,0.6238230247,0.582442,0.517424,-0.006005,0.011047,2
642671,10.18005416,9.551919347,10.27187295,11.44475376,-19.2335,1.52979775,-11.99346224,0.6281348088,-1.264699602,-1.172880813,57.84887758,209.3487793,0.127692746,0.1463012782,0.3865432069,0.9674207485,0.9551485481,0.5919099484,0.2501131881,0.7393594889,0.9081615668,0.051027,0.042553,0.002585,0.039668,2
